"ID","ConstituentID","ConstituentID","RoleTypeID","DisplayOrder","TableID","ConstituentID","DisplayName","DoDn","EnteredDate","NameType"
"10045","1907","1907","1","1","108","1907","James Leslie CREES","         1      1907","1998-06-23 11:47:27","alternate"
"10047","1907","1907","1","1","108","1907","James Leslie CREES","         1      1907","1998-06-23 11:47:27","alternate"
"10051","1907","1907","1","1","108","1907","James Leslie CREES","         1      1907","1998-06-23 11:47:27","alternate"
"10052","1907","1907","1","1","108","1907","James Leslie CREES","         1      1907","1998-06-23 11:47:27","alternate"
"10054","1907","1907","1","1","108","1907","James Leslie CREES","         1      1907","1998-06-23 11:47:27","alternate"
"10055","1907","1907","1","1","108","1907","James Leslie CREES","         1      1907","1998-06-23 11:47:27","alternate"
"10057","1907","1907","1","1","108","1907","James Leslie CREES","         1      1907","1998-06-23 11:47:27","alternate"
"10058","1907","1907","1","1","108","1907","James Leslie CREES","         1      1907","1998-06-23 11:47:27","alternate"
"52866","1907","1907","1","1","108","1907","James Leslie CREES","         1      1907","1998-06-23 11:47:27","alternate"
"52896","1907","1907","1","1","108","1907","James Leslie CREES","         1      1907","1998-06-23 11:47:27","alternate"
"52897","1907","1907","1","1","108","1907","James Leslie CREES","         1      1907","1998-06-23 11:47:27","alternate"
"52898","1907","1907","1","1","108","1907","James Leslie CREES","         1      1907","1998-06-23 11:47:27","alternate"
"14202","2440","2440","1","1","108","2440","Elizabeth Boughton","         1      2440","1998-10-27 15:53:16","alternate"
"584","289","289","1","1","108","289","Augustin Brunias","         1       289","1998-10-28 15:21:37","alternate"
"585","289","289","1","1","108","289","Augustin Brunias","         1       289","1998-10-28 15:21:37","alternate"
"586","289","289","1","1","108","289","Augustin Brunias","         1       289","1998-10-28 15:21:37","alternate"
"587","289","289","1","1","108","289","Augustin Brunias","         1       289","1998-10-28 15:21:37","alternate"
"588","289","289","1","1","108","289","Augustin Brunias","         1       289","1998-10-28 15:21:37","alternate"
"589","289","289","1","1","108","289","Augustin Brunias","         1       289","1998-10-28 15:21:37","alternate"